Philipps-MacBook-Pro:btc-liquidity philippbraun$ python main.py
STORJ/ETH 	33.62 	10867.64
STORM/ETH 	11.77 	10879.41
STRAT/ETH 	24.63 	10904.04
TIX/ETH 	17.40 	10921.44
TRST/ETH 	24.52 	10945.96
TRX/ETH 	210.37 	11156.34
TUSD/ETH 	136.32 	11292.66
UKG/ETH 	25.83 	11318.49
UP/ETH 	15.60 	11334.09
VEE/ETH 	16.91 	11351.00
VIB/ETH 	70.25 	11421.25
WAVES/ETH 	29.82 	11451.07
WAX/ETH 	48.01 	11499.07
WINGS/ETH 	22.41 	11521.49
XEM/ETH 	43.98 	11565.47
XLM/ETH 	120.10 	11685.58
XMR/ETH 	84.14 	11769.71
XRP/ETH 	238.19 	12007.90
ZEC/ETH 	168.04 	12175.94
ZRX/ETH 	256.95 	12432.89
ETH/USDT 	0.46 	12433.35
===> 	bittrex 	12433.35
ETH/BTC 	1489.42 	1489.42
DOGE/ETH 	2.56 	1491.97
ZSC/ETH 	22.63 	1514.61
GXS/ETH 	22.09 	1536.69
TRX/ETH 	63.20 	1599.89
BTX/ETH 	0.81 	1600.70
NULS/ETH 	5.16 	1605.86
MCO/ETH 	11.02 	1616.88
ETH/DKKT 	0.04 	1616.92
REBL/ETH 	10.22 	1627.14
DDN/ETH 	14.71 	1641.85
AIDOC/ETH 	137.21 	1779.06
PUT/ETH 	6.47 	1785.53
POK/ETH 	7.01 	1792.54
ATM/ETH 	7.03 	1799.57
ZGC/ETH 	2.64 	1802.21
NKC/ETH 	103.74 	1905.95
OC/ETH 	509.23 	2415.18
OCN/ETH 	1.93 	2417.11
BNTY/ETH 	0.91 	2418.03
INK/ETH 	104.48 	2522.51
SGCC/ETH 	66.88 	2589.39
EGCC/ETH 	45.87 	2635.26
WOC/ETH 	57.75 	2693.01
Pixiecoin/ETH 	162.72 	2855.74
BTV/ETH 	12.68 	2868.42
QUBE/ETH 	5.70 	2874.12
ECOM/ETH 	43.06 	2917.18
CRE/ETH 	3.18 	2920.36
BCV/ETH 	55.02 	2975.38
GBC/ETH 	27.99 	3003.37
PC/ETH 	19.19 	3022.56
UC/ETH 	5.67 	3028.23
VCT/ETH 	24.32 	3052.55
UCT/ETH 	6.58 	3059.13
INC/ETH 	68.54 	3127.67
HPB/ETH 	22.56 	3150.22
SEXC/ETH 	201.29 	3351.51
TKY/ETH 	3.95 	3355.46
ABAO/ETH 	466.99 	3822.45
PNT/ETH 	242.11 	4064.56
CVT/ETH 	785.56 	4850.11
